"512","7085","35"
"512","7086","35"
"103","2","34"
"104","2","34"
"209","145","34"
"1850","145","34"
"1138","512","34"
"3","3288","34"
"512","7087","34"
"105","2","33"
"17","3","33"
"3","48","33"
"3","117","33"
"503","145","33"
"3","541","33"
"512","594","33"
"512","5994","33"
"512","7088","33"
"512","7089","33"
"512","7090","33"
"512","7091","33"
"106","2","32"
"107","2","32"
"108","2","32"
"495","3","32"
"3","43","32"
"3","47","32"
"145","59","32"
"306","145","32"
"657","145","32"
"2833","145","32"
"145","360","32"
"3374","512","32"
"5901","512","32"
"3","1225","32"
"512","3765","32"
"512","7092","32"
"512","7093","32"
"3","1","31"
"109","2","31"
"110","2","31"
"111","2","31"
"112","2","31"
"3","86","31"
"512","87","31"
"3","93","31"
"33","145","31"
"186","145","31"
"2834","145","31"
"3","424","31"
"280","512","31"
"1078","512","31"
"1531","512","31"
"3","762","31"
"3","2389","31"
"145","2835","31"
"512","7094","31"
"512","7095","31"
"113","2","30"
"114","2","30"
"115","2","30"
"116","2","30"
"117","2","30"
"1817","3","30"
"2810","3","30"
"512","63","30"
"2","118","30"
"56","145","30"
"258","145","30"
"2836","145","30"
"2837","145","30"
"3","154","30"
"3","382","30"
"3","455","30"
"5975","512","30"
"3","1466","30"
"512","2014","30"
"512","2989","30"
"512","7096","30"
"512","7097","30"
"119","2","29"
"120","2","29"
"121","2","29"
"122","2","29"
"123","2","29"
"512","59","29"
"229","145","29"
"1234","145","29"
"1770","145","29"
"2546","145","29"
"2838","145","29"
"2839","145","29"
"3","355","29"
"1611","512","29"
"3","765","29"
"512","7098","29"
"512","7099","29"
"512","7100","29"
"124","2","28"
"125","2","28"
"126","2","28"
"127","2","28"
"266","3","28"
"11","145","28"
"296","145","28"
"433","145","28"
"2390","145","28"
"3","204","28"
"3","426","28"
"512","445","28"
"512","3601","28"
"3","5878","28"
"512","7102","28"
"128","2","27"
"129","2","27"
"130","2","27"
"131","2","27"
"243","3","27"
"393","3","27"
"3","38","27"
"3","41","27"
"2","132","27"
"65","145","27"
"99","145","27"
"390","145","27"
"3","190","27"
"3","206","27"
"7103","512","27"
"512","7104","27"
"133","2","26"
"134","2","26"
"135","2","26"
"136","2","26"
"76","3","26"
"262","3","26"
"3","80","26"
"15","145","26"
"174","145","26"
"661","145","26"
"710","145","26"
"2118","145","26"
"2489","145","26"
"3","209","26"
"3","929","26"
"3","1438","26"
"3","2483","26"
"3","5589","26"
"512","7105","26"
"512","7106","26"
"137","2","25"
"138","2","25"
"139","2","25"
"3","99","25"
"53","145","25"
"109","145","25"
"205","145","25"
"799","145","25"
"2840","145","25"
"145","168","25"
"3","255","25"
"3","307","25"
"7107","512","25"
"7108","512","25"
"512","2642","25"
"145","2841","25"
"3","5879","25"
"512","7109","25"
"512","7110","25"
"512","7111","25"
"512","7112","25"
"512","7113","25"
"140","2","24"
"141","2","24"
"142","2","24"
"143","2","24"
"100","3","24"
"225","3","24"
"245","3","24"
"2","144","24"
"5","145","24"
"46","145","24"
"164","145","24"
"232","145","24"
"303","145","24"
"1001","145","24"
"1257","145","24"
"2842","145","24"
"2843","145","24"
"3","210","24"
"3","222","24"
"3","313","24"
"3","349","24"
"3","479","24"
"7114","512","24"
"7115","512","24"
"3","740","24"
"3","777","24"
"3","958","24"
"512","3287","24"
"512","7116","24"
"146","2","23"
"147","2","23"
"148","2","23"
"149","2","23"
"150","2","23"
"22","3","23"
"5880","3","23"
"512","109","23"
"3","131","23"
"14","145","23"
"52","145","23"
"731","145","23"
